DBN,ATTN_DATE_YMD,ATTN_PCT,LOC_CODE,SCHOOL_NAME,Borough,DistrictCode
06M132,20171122,89.5,M132,P.S. 132 JUAN PABLO DUARTE,M,6
06M143,20171122,88.76,M143,J.H.S. 143 ELEANOR ROOSEVELT,M,6
06M152,20171122,92.59,M152,P.S. 152 DYCKMAN VALLEY,M,6
06M153,20171122,93.94,M153,P.S. 153 ADAM CLAYTON POWELL,M,6
06M173,20171122,90.26,M173,P.S. 173,M,6
06M178,20171122,88.69,M178,PROFESSOR JUAN BOSCH PUBLIC SCHOOL,M,6
06M187,20171122,91.38,M187,P.S. I.S. 187 HUDSON CLIFFS,M,6
06M189,20171122,90.2,M189,P.S. 189,M,6
06M192,20171122,89.74,M192,P.S. 192 JACOB H. SCHIFF,M,6
06M209,20171122,92.19,M209,HAMILTON GRANGE MIDDLE SCHOOL,M,6
06M210,20171122,93.76,M210,P.S. I.S. 210 TWENTY FIRST CENTURY ACA,M,6
06M211,20171122,65.69,M211,INWOOD EARLY COLLEGE FOR HEALTH AND INFO,M,6
06M218,20171122,92.04,M218,I.S. 218 SALOME URENA,M,6
06M223,20171122,90.06,M223,THE MOTT HALL SCHOOL,M,6
06M278,20171122,91.11,M278,PAULA HEDBAVNY SCHOOL,M,6
06M293,20171122,95.34,M293,CITY COLLEGE ACADEMY OF THE ARTS,M,6
06M311,20171122,92.15,M311,AMISTAD DUAL LANGUAGE SCHOOL,M,6
06M314,20171122,87.67,M314,MUSCOTA,M,6
06M319,20171122,92.04,M319,M.S. 319 MARIA TERESA,M,6
06M322,20171122,87.62,M322,MIDDLE SCHOOL 322,M,6
06M324,20171122,93.96,M324,M.S. 324 PATRIA MIRABAL,M,6
06M328,20171122,83.18,M328,COMMUNITY MATH SCIENCE PREP,M,6
06M346,20171122,81.31,M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,M,6
06M348,20171122,89.25,M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNIN,M,6
06M349,20171122,92.96,M349,HARBOR HEIGHTS,M,6
06M366,20171122,92.8,M366,WASHINGTON HEIGHTS ACADEMY,M,6
06M368,20171122,80.81,M368,HAMILTON HEIGHTS SCHOOL,M,6
06M423,20171122,-1,M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATIO,M,6
06M462,20171122,66.37,M462,THE COLLEGE ACADEMY,M,6
06M463,20171122,67.63,M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,M,6
06M467,20171122,75.81,M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,M,6
06M468,20171122,67.31,M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIEN,M,6
06M513,20171122,89.47,M513,CASTLE BRIDGE SCHOOL,M,6
06M528,20171122,96.39,M528,I.S. 528 BEA FULLER RODGERS SCHOOL,M,6
06M540,20171122,-1,M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,M,6
06M552,20171122,88.58,M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE,M,6
07X001,20171122,85.86,X001,P.S. 001 COURTLANDT SCHOOL,X,7
07X005,20171122,85.75,X005,P.S. 5 PORT MORRIS,X,7
07X018,20171122,81.38,X018,P.S. 018 JOHN PETER ZENGER,X,7
07X025,20171122,87.82,X025,P.S. 025 BILINGUAL SCHOOL,X,7
07X029,20171122,84.25,X029,P.S. M.S. 029 MELROSE SCHOOL,X,7
07X030,20171122,87.52,X030,P.S. 030 WILTON,X,7
07X031,20171122,84.32,X031,P.S. M.S. 031 THE WILLIAM LLOYD GARRISON,X,7
07X043,20171122,81.81,X043,P.S. 043 JONAS BRONCK,X,7
07X049,20171122,83.18,X049,P.S. 049 WILLIS AVENUE,X,7
07X065,20171122,82.07,X065,P.S. 065 MOTHER HALE ACADEMY,X,7
07X151,20171122,82.82,X151,J.H.S. 151 LOU GEHRIG,X,7
07X154,20171122,90.17,X154,P.S. 154 JONATHAN D. HYATT,X,7
07X157,20171122,82.63,X157,P.S. 157 GROVE HILL,X,7
07X161,20171122,84.83,X161,P.S. 161 JUAN PONCE DE LEON SCHOOL,X,7
07X179,20171122,83.38,X179,P.S. 179,X,7
07X221,20171122,90.01,X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD,X,7
07X223,20171122,87.19,X223,THE LABORATORY SCHOOL OF FINANCE AND TEC,X,7
07X224,20171122,81.48,X224,P.S. I.S. 224,X,7
07X259,20171122,81.46,X259,"H.E.R.O. HIGH HEALTH, EDUCATION, AND RE",X,7
07X277,20171122,84.66,X277,P.S. 277,X,7
07X296,20171122,80.7,X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,X,7
07X298,20171122,86.74,X298,ACADEMY OF PUBLIC RELATIONS,X,7
07X334,20171122,87.78,X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,X,7
07X343,20171122,88.29,X343,ACADEMY OF APPLIED MATHEMATICS AND TECHN,X,7
07X359,20171122,86.51,X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,X,7
07X369,20171122,88.88,X369,YOUNG LEADERS ELEMENTARY SCHOOL,X,7
07X379,20171122,46.97,X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,X,7
07X381,20171122,40.1,X381,BRONX HAVEN HIGH SCHOOL,X,7
07X427,20171122,66.33,X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,X,7
07X473,20171122,52.61,X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHO,X,7
07X495,20171122,66.46,X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,X,7
07X500,20171122,88.18,X500,HOSTOS LINCOLN ACADEMY OF SCIENCE,X,7
